model_name,num_tasks,num_exclusive_gateways,num_parallel_gateways,num_events,num_pools,num_subprocesses,num_data_objects,total_elements
process_1.bpmn,12,6,2,4,0,0,0,24
process_10.bpmn,14,8,2,5,0,0,2,29
process_11.bpmn,17,9,4,2,0,0,0,32
process_12.bpmn,14,7,2,2,0,0,0,25
process_13.bpmn,11,21,2,9,0,0,0,43
process_14.bpmn,18,12,4,2,1,0,0,37
process_15.bpmn,10,12,2,2,0,0,0,26
process_16.bpmn,13,7,4,2,0,0,0,26
process_17.bpmn,11,18,2,2,0,0,4,33
process_18.bpmn,23,8,6,2,0,0,0,39
process_19.bpmn,12,9,2,2,0,0,0,25
process_2.bpmn,11,2,4,4,0,0,0,21
process_20.bpmn,15,4,2,7,0,0,4,28
process_21.bpmn,11,10,2,4,0,0,0,27
process_22.bpmn,13,4,2,2,0,0,0,21
process_23.bpmn,14,5,2,4,0,0,2,25
process_24.bpmn,17,8,6,4,0,0,0,35
process_25.bpmn,14,4,2,3,0,0,0,23
process_26.bpmn,11,8,2,2,0,0,0,23
process_27.bpmn,14,6,2,5,0,0,2,27
process_28.bpmn,11,6,2,5,0,0,0,24
process_29.bpmn,20,8,2,3,0,0,0,33
process_3.bpmn,10,11,2,2,0,0,0,25
process_30.bpmn,19,10,2,6,0,0,4,37
process_31.bpmn,20,18,6,2,0,0,0,46
process_32.bpmn,15,10,4,2,1,0,0,32
process_33.bpmn,17,10,2,2,0,0,0,31
process_34.bpmn,16,8,4,2,0,0,4,30
process_35.bpmn,13,6,2,2,0,0,0,23
process_36.bpmn,15,8,2,2,0,0,0,27
process_37.bpmn,12,6,2,2,0,0,2,22
process_38.bpmn,13,8,2,2,0,0,0,25
process_39.bpmn,14,7,2,2,0,0,0,25
process_4.bpmn,11,12,4,2,0,0,0,29
process_40.bpmn,11,8,2,2,0,0,0,23
process_41.bpmn,12,3,4,2,0,0,0,21
process_42.bpmn,14,3,2,2,0,0,0,21
process_43.bpmn,10,6,2,2,0,0,0,20
process_44.bpmn,20,5,4,8,0,0,6,37
process_45.bpmn,22,6,4,4,0,0,0,36
process_46.bpmn,20,4,4,2,0,0,0,30
process_47.bpmn,17,7,2,2,0,0,0,28
process_48.bpmn,13,8,2,2,0,0,0,25
process_49.bpmn,21,12,2,4,1,0,0,40
process_5.bpmn,12,10,4,3,0,0,0,29
process_50.bpmn,10,9,2,2,0,0,0,23
process_51.bpmn,12,6,2,3,0,0,0,23
process_52.bpmn,11,5,2,3,0,0,0,21
process_53.bpmn,12,6,2,2,3,0,0,25
process_54.bpmn,15,16,2,2,0,0,0,35
process_55.bpmn,11,5,2,2,0,0,0,20
process_56.bpmn,14,9,2,2,1,0,0,28
process_57.bpmn,11,6,2,2,0,0,0,21
process_58.bpmn,21,12,2,2,3,0,2,40
process_59.bpmn,9,6,0,4,0,0,0,19
process_6.bpmn,18,4,4,2,0,0,0,28
process_60.bpmn,19,11,2,4,0,0,0,36
process_61.bpmn,13,6,2,2,0,0,0,23
process_62.bpmn,15,6,4,2,0,0,0,27
process_63.bpmn,11,6,2,2,0,0,0,21
process_64.bpmn,17,5,6,3,0,0,0,31
process_65.bpmn,10,6,2,2,0,0,0,20
process_66.bpmn,10,6,2,2,0,0,0,20
process_67.bpmn,13,4,2,2,0,0,0,21
process_68.bpmn,24,6,4,2,0,0,0,36
process_69.bpmn,11,4,2,4,0,0,7,21
process_7.bpmn,10,5,4,2,0,0,0,21
process_70.bpmn,21,5,4,2,0,0,0,32
process_71.bpmn,15,7,2,3,0,0,0,27
process_72.bpmn,11,7,2,6,0,0,0,26
process_73.bpmn,13,4,2,2,0,0,4,21
process_74.bpmn,12,4,2,4,0,0,0,22
process_75.bpmn,13,6,2,2,0,0,0,23
process_76.bpmn,15,6,4,3,0,0,0,28
process_77.bpmn,13,7,4,3,0,0,0,27
process_78.bpmn,13,6,4,2,0,0,0,25
process_79.bpmn,11,5,2,2,0,0,0,20
process_8.bpmn,13,12,4,3,0,0,0,32
process_80.bpmn,13,10,2,2,0,0,0,27
process_81.bpmn,18,16,2,4,1,0,0,41
process_82.bpmn,13,6,2,2,1,0,0,24
process_83.bpmn,13,3,4,2,0,0,0,22
process_84.bpmn,11,4,4,2,0,0,0,21
process_85.bpmn,11,3,2,3,0,0,0,19
process_86.bpmn,12,3,2,2,0,0,0,19
process_87.bpmn,12,4,4,2,0,0,0,22
process_88.bpmn,14,2,4,2,0,0,0,22
process_89.bpmn,16,4,4,2,0,0,0,26
process_9.bpmn,21,14,2,2,0,0,0,39
