model_name,translation_time_sec,num_actions,num_fluents,program_size_lines
process_0.bpmn,0.004624366760253906,22,8,307
process_1.bpmn,0.006530284881591797,27,10,413
process_2.bpmn,0.005594730377197266,16,10,267
process_3.bpmn,0.0063745975494384766,34,13,368
process_4.bpmn,0.004033088684082031,25,11,285
process_5.bpmn,0.0071866512298583984,29,7,384
process_6.bpmn,0.0052297115325927734,19,13,271
process_7.bpmn,0.0046329498291015625,37,8,311
process_8.bpmn,0.003462553024291992,21,8,266
process_9.bpmn,0.004300594329833984,27,8,309
