model_name,translation_time_sec,num_actions,num_fluents,program_size_lines
process_1.bpmn,0.004033803939819336,31,8,217
process_10.bpmn,0.005758047103881836,35,10,302
process_11.bpmn,0.004166603088378906,40,10,237
process_12.bpmn,0.004194736480712891,34,8,261
process_13.bpmn,0.008203744888305664,28,15,294
process_14.bpmn,0.006137847900390625,42,10,337
process_15.bpmn,0.008074045181274414,26,10,236
process_16.bpmn,0.005945444107055664,32,8,198
process_17.bpmn,0.009675979614257812,28,14,252
process_18.bpmn,0.01180267333984375,52,8,378
process_19.bpmn,0.007311582565307617,30,9,219
process_2.bpmn,0.00521540641784668,29,6,197
process_20.bpmn,0.005034685134887695,38,10,271
process_21.bpmn,0.004786014556884766,28,9,281
process_22.bpmn,0.003345012664794922,32,7,248
process_23.bpmn,0.003928422927856445,35,8,243
process_24.bpmn,0.004403591156005859,41,11,262
process_25.bpmn,0.0035169124603271484,35,7,255
process_26.bpmn,0.0033943653106689453,28,8,245
process_27.bpmn,0.0035619735717773438,36,9,253
process_28.bpmn,0.003594636917114258,28,7,212
process_29.bpmn,0.006669044494628906,46,8,440
process_3.bpmn,0.004248142242431641,26,10,247
process_30.bpmn,0.006624937057495117,45,12,266
process_31.bpmn,0.007264137268066406,46,12,318
process_32.bpmn,0.004033565521240234,36,9,229
process_33.bpmn,0.004875659942626953,40,9,271
process_34.bpmn,0.004605293273925781,38,9,281
process_35.bpmn,0.0037550926208496094,32,7,260
process_36.bpmn,0.0035157203674316406,36,8,246
process_37.bpmn,0.003747224807739258,30,8,252
process_38.bpmn,0.0036399364471435547,32,8,238
process_39.bpmn,0.0037305355072021484,34,8,233
process_4.bpmn,0.0038557052612304688,28,9,203
process_40.bpmn,0.0034322738647460938,28,8,197
process_41.bpmn,0.003320932388305664,27,6,203
process_42.bpmn,0.003143310546875,30,6,238
process_43.bpmn,0.0033347606658935547,26,7,266
process_44.bpmn,0.004668235778808594,49,10,265
process_45.bpmn,0.005529880523681641,50,7,329
process_46.bpmn,0.004015684127807617,46,7,264
process_47.bpmn,0.0038840770721435547,40,8,287
process_48.bpmn,0.005000591278076172,32,8,252
process_49.bpmn,0.005871295928955078,49,12,316
process_5.bpmn,0.0047032833099365234,30,9,221
process_50.bpmn,0.0038003921508789062,26,9,241
process_51.bpmn,0.0033233165740966797,30,7,216
process_52.bpmn,0.0030591487884521484,28,7,210
process_53.bpmn,0.0030727386474609375,30,7,219
process_54.bpmn,0.005640268325805664,36,12,272
process_55.bpmn,0.003473997116088867,28,8,249
process_56.bpmn,0.005183696746826172,34,9,363
process_57.bpmn,0.0031120777130126953,28,7,218
process_58.bpmn,0.0060901641845703125,48,11,326
process_59.bpmn,0.0031135082244873047,24,7,246
process_6.bpmn,0.004490852355957031,42,8,285
process_60.bpmn,0.007068157196044922,45,12,404
process_61.bpmn,0.003370523452758789,32,7,249
process_62.bpmn,0.0036382675170898438,36,7,257
process_63.bpmn,0.003082275390625,28,7,210
process_64.bpmn,0.0057070255279541016,41,8,398
process_65.bpmn,0.003179311752319336,26,7,222
process_66.bpmn,0.002554655075073242,26,7,192
process_67.bpmn,0.003776073455810547,32,8,263
process_68.bpmn,0.005983114242553711,54,7,337
process_69.bpmn,0.0038547515869140625,29,10,224
process_7.bpmn,0.0033991336822509766,26,8,244
process_70.bpmn,0.005063056945800781,48,9,307
process_71.bpmn,0.0035445690155029297,36,8,230
process_72.bpmn,0.003466367721557617,28,7,229
process_73.bpmn,0.003529787063598633,32,10,247
process_74.bpmn,0.0032618045806884766,30,7,237
process_75.bpmn,0.0034952163696289062,32,7,238
process_76.bpmn,0.0036759376525878906,36,7,261
process_77.bpmn,0.003687143325805664,32,8,235
process_78.bpmn,0.0035948753356933594,32,7,231
process_79.bpmn,0.0030488967895507812,28,7,203
process_8.bpmn,0.004591941833496094,32,9,211
process_80.bpmn,0.004164457321166992,32,9,277
process_81.bpmn,0.009168148040771484,44,13,603
process_82.bpmn,0.0037474632263183594,32,7,254
process_83.bpmn,0.0039861202239990234,32,6,239
process_84.bpmn,0.0030541419982910156,28,6,221
process_85.bpmn,0.002864837646484375,28,6,227
process_86.bpmn,0.002871990203857422,30,6,237
process_87.bpmn,0.0030660629272460938,30,6,228
process_88.bpmn,0.0031960010528564453,34,6,238
process_89.bpmn,0.004163265228271484,38,7,275
process_9.bpmn,0.006209135055541992,48,11,295
