model_name,task_type,sample_id,expected,returned,correct,reasoning_time,inferences
process_0.bpmn,projection,1,True,True,True,0.0,43
process_0.bpmn,verification,2,True,True,True,0.018,191568
process_0.bpmn,projection,3,False,False,True,0.0,80
process_0.bpmn,verification,4,False,False,True,0.0,0
process_1.bpmn,projection,5,True,True,True,0.0,43
process_1.bpmn,verification,6,True,False,False,0.0,0
process_1.bpmn,projection,7,False,False,True,0.0,80
process_1.bpmn,verification,8,False,False,True,0.0,0
process_2.bpmn,projection,9,True,True,True,0.0,43
process_2.bpmn,verification,10,True,False,False,0.012,100588
process_2.bpmn,projection,11,False,False,True,0.0,80
process_2.bpmn,verification,12,False,False,True,0.012,100588
process_3.bpmn,projection,13,True,True,True,0.0,43
process_3.bpmn,verification,14,True,False,False,0.0,0
process_3.bpmn,projection,15,False,False,True,0.0,69
process_3.bpmn,verification,16,False,False,True,0.0,0
process_4.bpmn,projection,17,True,True,True,0.0,43
process_4.bpmn,verification,18,True,True,True,0.009,51398
process_4.bpmn,projection,19,False,False,True,0.0,58
process_4.bpmn,verification,20,False,False,True,1.225,18828600
process_6.bpmn,projection,25,True,True,True,0.0,43
process_6.bpmn,verification,26,True,False,False,0.0,0
process_6.bpmn,projection,27,False,False,True,0.0,58
process_6.bpmn,verification,28,False,False,True,0.0,0
process_7.bpmn,projection,29,True,True,True,0.0,43
process_7.bpmn,verification,30,True,False,False,0.008,40235
process_7.bpmn,projection,31,False,True,False,0.0,43
process_7.bpmn,verification,32,False,False,True,0.0,0
process_8.bpmn,projection,33,True,True,True,0.0,43
process_8.bpmn,verification,34,True,False,False,0.054,682654
process_8.bpmn,projection,35,False,False,True,0.0,124
process_8.bpmn,verification,36,False,False,True,0.051,682708
