model_name,task_type,sample_id,expected,returned,correct,reasoning_time,inferences,status,error_msg
process_0.bpmn,projection,1,True,True,True,0.0,43,success,
process_0.bpmn,verification,2,True,True,True,0.018,191568,success,
process_0.bpmn,projection,3,False,False,True,0.0,80,success,
process_0.bpmn,verification,4,False,False,True,4.191,62093331,success,
process_1.bpmn,projection,5,True,True,True,0.0,43,success,
process_1.bpmn,verification,6,True,True,True,0.008,49583,success,
process_1.bpmn,projection,7,False,False,True,0.0,80,success,
process_1.bpmn,verification,8,False,False,True,4.383,141181528,success,
process_2.bpmn,projection,9,True,True,True,0.0,43,success,
process_2.bpmn,verification,10,False,False,True,0.012,100411,success,
process_2.bpmn,projection,11,False,False,True,0.0,80,success,
process_2.bpmn,verification,12,False,False,True,0.012,100411,success,
process_3.bpmn,projection,13,True,True,True,0.0,43,success,
process_3.bpmn,verification,14,True,True,True,0.011,99552,success,
process_3.bpmn,projection,15,False,False,True,0.0,69,success,
process_3.bpmn,verification,16,False,False,True,0.0,0,timeout,ERROR: Process timed out after 30 seconds
process_4.bpmn,projection,17,True,True,True,0.0,43,success,
process_4.bpmn,verification,18,True,True,True,0.009,51398,success,
process_4.bpmn,projection,19,False,False,True,0.0,58,success,
process_4.bpmn,verification,20,False,False,True,1.24,18828600,success,
process_5.bpmn,projection,21,True,True,True,0.004,24361,success,
process_5.bpmn,verification,22,True,True,True,0.006,37982,success,
process_5.bpmn,projection,23,False,False,True,0.004,24368,success,
process_5.bpmn,verification,24,False,False,True,0.008,40233,success,
process_6.bpmn,projection,25,True,True,True,0.0,43,success,
process_6.bpmn,verification,26,True,False,False,1.53,23418182,failure,
process_6.bpmn,projection,27,False,False,True,0.0,58,success,
process_6.bpmn,verification,28,False,False,True,1.506,23417762,success,
process_7.bpmn,projection,29,True,True,True,0.0,43,success,
process_7.bpmn,verification,30,False,False,True,0.008,40235,success,
process_7.bpmn,projection,31,False,False,True,0.0,43,success,
process_7.bpmn,verification,32,False,False,True,6.975,53556683,success,
process_8.bpmn,projection,33,True,True,True,0.0,43,success,
process_8.bpmn,verification,34,True,True,True,0.066,871059,success,
process_8.bpmn,projection,35,False,False,True,0.0,124,success,
process_8.bpmn,verification,36,False,False,True,0.062,871113,success,
process_9.bpmn,projection,37,True,True,True,0.0,43,success,
process_9.bpmn,verification,38,True,False,False,0.0,0,timeout,ERROR: Process timed out after 30 seconds
process_9.bpmn,projection,39,False,False,True,0.0,58,success,
process_9.bpmn,verification,40,False,False,True,0.0,0,timeout,ERROR: Process timed out after 30 seconds
